"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"S100a6",4.99266441015248,8.10306202223254,39.7088007421788,1.02419804744236e-30,3.0242008420862e-27,59.9983903742003
"Tpm3-rs7",-6.54912522154701,3.16874061091961,-40.4363234313536,5.49502093566185e-31,3.0242008420862e-27,59.9836413293138
"Trav14-1",-6.89857194980367,3.53833979973312,-39.5957804277349,1.12932302353642e-30,3.0242008420862e-27,59.5174091241894
"Igha",-6.09989277478372,2.64191196677708,-40.0331447325861,7.74900815213088e-31,3.0242008420862e-27,59.3181764668993
"Ly6c2",5.5527023915219,9.22277752250947,36.9421992443714,1.21309691062385e-29,1.86330065158312e-26,57.6893970780614
"Id2",3.2755649215398,8.33780224593485,36.6682269729334,1.56437802603515e-29,1.87456709765421e-26,57.4610907937458
"Myo1f",2.78787904599094,8.78395334242689,36.5007412169866,1.82914085964713e-29,1.87456709765421e-26,57.2971596873906
"S100a4",5.66377133177589,8.41052418620855,36.4941622335931,1.84043538684366e-29,1.87456709765421e-26,57.1541835640669
"H2-Q7",1.9745760824126,9.8490044856839,36.3273100267063,2.15216639183139e-29,2.00940602117324e-26,57.0981034743308
