Sample Name,Transfection,Genotype,Cell type ,Neural differentiation set,file_name
KOLF2_SETBP1_VUS2_A21_10_day 0,A,VUS2 HDR/WT,iPSC,2,KOLF2-SETBP1-VUS2-A21-10-day-0/abundance.h5
KOLF2_SETBP1_VUS2_A21_7_day 0,A,VUS2 HDR/WT,iPSC,1,KOLF2-SETBP1-VUS2-A21-7-day-0/abundance.h5
KOLF2_SETBP1_VUS2_A21_10_day 24,A,VUS2 HDR/WT,NPC,2,KOLF2-SETBP1-VUS2-A21-10-day-24/abundance.h5
KOLF2_SETBP1_VUS2_A21_7_day 24,A,VUS2 HDR/WT,NPC,1,KOLF2-SETBP1-VUS2-A21-7-day-24/abundance.h5
KOLF2_SETBP1_VUS2_B1_4.1_day 0,B,VUS2 HDR/WT,iPSC,1,KOLF2-SETBP1-VUS2-B1-4-1-day-0/abundance.h5
KOLF2_SETBP1_VUS2_B1_4.2_day 0,B,VUS2 HDR/WT,iPSC,2,KOLF2-SETBP1-VUS2-B1-4-2-day-0/abundance.h5
KOLF2_SETBP1_VUS2_B1_4.1_day 24,B,VUS2 HDR/WT,NPC,1,KOLF2-SETBP1-VUS2-B1-4-1-day-24/abundance.h5
KOLF2_SETBP1_VUS2_B1_4.2_day 24,B,VUS2 HDR/WT,NPC,2,KOLF2-SETBP1-VUS2-B1-4-2-day-24/abundance.h5
KOLF2_SETBP1_VUS2_C12.1_WT_day 0,C,WT/WT,iPSC,1,KOLF2-SETBP1-VUS2-C12-1-WT-day-0/abundance.h5
KOLF2_SETBP1_VUS2_C12.2_WT_day 0,C,WT/WT,iPSC,1,KOLF2-SETBP1-VUS2-C12-2-WT-day-0/abundance.h5
KOLF2_SETBP1_VUS2_C12.3_WT_day 0,C,WT/WT,iPSC,2,KOLF2-SETBP1-VUS2-C12-3-WT-day-0/abundance.h5
KOLF2_SETBP1_VUS2_C12.1_WT_day 24,C,WT/WT,NPC,1,KOLF2-SETBP1-VUS2-C12-1-WT-day-24/abundance.h5
KOLF2_SETBP1_VUS2_C12.2_WT_day 24,C,WT/WT,NPC,1,KOLF2-SETBP1-VUS2-C12-2-WT-day-24/abundance.h5
KOLF2_SETBP1_VUS2_C12.3_WT_day 24,C,WT/WT,NPC,2,KOLF2-SETBP1-VUS2-C12-3-WT-day-24/abundance.h5
KOLF2_SETBP1_PATH1_4.6_WT_day 0,D,WT/WT,iPSC,1,KOLF2-SETBP1-PATH1-4-6-WT-day-0/abundance.h5
KOLF2_SETBP1_PATH1_4.7_WT_day 0,D,WT/WT,iPSC,2,KOLF2-SETBP1-PATH1-4-7-WT-day-0/abundance.h5
KOLF2_SETBP1_PATH1_4.6_WT_day 24,D,WT/WT,NPC,1,KOLF2-SETBP1-PATH1-4-6-WT-day-24/abundance.h5
KOLF2_SETBP1_PATH1_4.7_WT_day 24,D,WT/WT,NPC,2,KOLF2-SETBP1-PATH1-4-7-WT-day-24/abundance.h5
KOLF2_SETBP1_PATH2_3.2_day 0,E,PATH2 HDR/WT,iPSC,1,KOLF2-SETBP1-PATH2-3-2-day-0/abundance.h5
KOLF2_SETBP1_PATH2_3.3_WT_day 0,E,WT/WT,iPSC,2,KOLF2-SETBP1-PATH2-3-3-WT-day-0/abundance.h5
KOLF2_SETBP1_PATH2_3.4_day 0,E,PATH2 HDR/WT,iPSC,1,KOLF2-SETBP1-PATH2-3-4-day-0/abundance.h5
KOLF2_SETBP1_PATH2_3.6_day 0,E,PATH2 HDR/WT,iPSC,2,KOLF2-SETBP1-PATH2-3-6-day-0/abundance.h5
KOLF2_SETBP1_PATH2_3.2_day 24,E,PATH2 HDR/WT,NPC,1,KOLF2-SETBP1-PATH2-3-2-day-24/abundance.h5
KOLF2_SETBP1_PATH2_3.3_WT_day 24,E,WT/WT,NPC,2,KOLF2-SETBP1-PATH2-3-3-WT-day-24/abundance.h5
KOLF2_SETBP1_PATH2_3.4_day 24,E,PATH2 HDR/WT,NPC,1,KOLF2-SETBP1-PATH2-3-4-day-24/abundance.h5
KOLF2_SETBP1_PATH2_3.6_day 24,E,PATH2 HDR/WT,NPC,2,KOLF2-SETBP1-PATH2-3-6-day-24/abundance.h5
KOLF2_SETBP1_PATH3_15.10_day 0,F,PATH3 HDR/WT,iPSC,2,KOLF2-SETBP1-PATH3-15-10-day-0/abundance.h5
KOLF2_SETBP1_PATH3_15.7.1_day 0,F,PATH3 HDR/WT,iPSC,1,KOLF2-SETBP1-PATH3-15-7-1-day-0/abundance.h5
KOLF2_SETBP1_PATH3_15.7.2_day 0,F,PATH3 HDR/WT,iPSC,2,KOLF2-SETBP1-PATH3-15-7-2-day-0/abundance.h5
KOLF2_SETBP1_PATH3_15.10_day 24,F,PATH3 HDR/WT,NPC,2,KOLF2-SETBP1-PATH3-15-10-day-24/abundance.h5
KOLF2_SETBP1_PATH3_15.7.1_day 24,F,PATH3 HDR/WT,NPC,1,KOLF2-SETBP1-PATH3-15-7-1-day-24/abundance.h5
KOLF2_SETBP1_PATH3_15.7.2_day 24,F,PATH3 HDR/WT,NPC,2,KOLF2-SETBP1-PATH3-15-7-2-day-24/abundance.h5
